# Example user gene set for workflow-hgnc_user_list (STEP_0-hgnc_based_rgs).
#
# Replace this file with your own user_gene_set.tsv at the same path
# (gene_groups-<your_instance>/INPUT_user/user_gene_set.tsv) when you
# instantiate this template.
#
# FORMAT
# ------
#   - Tab-separated (TSV).
#   - Lines starting with '#' are comments (ignored).
#   - First non-comment line is the header (required).
#   - Each row defines ONE gene's membership in ONE group.
#   - To define a multi-gene group, repeat the group columns across rows.
#   - Multiple groups in one file are allowed (each gets its own RGS FASTA).
#
# COLUMNS
# -------
#   group_sanitized_name   filesystem-safe lowercase identifier; used in
#                          output filenames and per-sequence FASTA headers
#                          (e.g., snap_family, syntaxins, my_custom_set).
#   group_display_name     human-readable description of the group; used
#                          in the per-group manifest and logs (e.g.,
#                          "Synaptosomal-Associated Proteins").
#   gene_symbol            HGNC-approved human gene symbol. Aliases and
#                          withdrawn symbols are resolved automatically
#                          against hgnc_complete_set.txt; you'll see a
#                          warning in the log if your input differs from
#                          HGNC's canonical symbol.
#
# EXAMPLE (SNAP family, 4 t-SNAREs)
# ---------------------------------
group_sanitized_name	group_display_name	gene_symbol
snap_family	Synaptosomal-Associated Proteins	SNAP23
snap_family	Synaptosomal-Associated Proteins	SNAP25
snap_family	Synaptosomal-Associated Proteins	SNAP29
snap_family	Synaptosomal-Associated Proteins	SNAP47
